기간,지역구,발생합계,살인발생,강도발생,강간강제추행발생,절도발생,폭력발생,검거합계,살인검거,강도검거,강간강제추행검거,절도검거,폭력검거
2017,강남구,7720,7,20,607,3130,3956,5321,7,24,496,1383,3411
2018,강남구,7513,10,14,600,3004,3885,5196,13,10,523,1317,3333
2019,강남구,7304,5,5,666,2970,3658,5069,3,6,562,1339,3159
2017,종로구,4057,7,10,253,1644,2143,4437,9,15,1412,905,2096
2017,관악구,5525,8,7,379,1979,3152,4154,7,6,323,1152,2666
2019,종로구,3846,4,7,238,1515,2082,4117,5,8,1143,1069,1892
2018,송파구,5807,5,6,309,2352,3135,4051,6,8,254,1034,2749
2017,영등포구,5969,15,5,455,2304,3190,4012,13,5,267,1108,2619
2017,강서구,5135,11,4,316,1888,2916,3927,11,6,253,1113,2544
2018,영등포구,5840,17,8,391,2292,3132,3922,15,6,267,1064,2570
2018,종로구,3690,6,3,236,1483,1962,3913,7,7,1100,969,1830
2017,송파구,5576,6,1,288,2274,3007,3870,6,3,242,1026,2593
2019,관악구,5328,13,10,408,2223,2674,3810,10,11,335,1085,2369
2019,송파구,5698,7,10,273,2416,2992,3799,8,10,230,1016,2535
2019,영등포구,5820,10,3,356,2409,3042,3787,10,3,239,1068,2467
2019,서초구,5542,5,7,616,2270,2644,3750,5,5,412,1118,2210
2018,관악구,5026,9,10,352,2012,2643,3653,9,12,305,1025,2302
2018,마포구,5172,6,6,473,2011,2676,3569,6,7,396,882,2278
2019,강서구,4924,8,3,306,2050,2557,3543,9,4,257,1077,2196
2017,마포구,5278,3,8,500,2094,2673,3499,3,8,429,837,2222
2018,강서구,4629,11,6,269,1724,2619,3469,9,3,246,982,2229
2017,구로구,4895,7,8,328,1725,2827,3408,8,6,181,869,2344
2017,중랑구,4571,5,3,172,1533,2858,3392,5,4,144,813,2426
2018,구로구,4810,8,9,250,1717,2826,3338,8,9,181,787,2353
2019,구로구,4707,10,3,226,1916,2552,3291,9,4,165,965,2148
2017,광진구,4646,6,13,261,2220,2146,3289,5,8,208,1168,1900
2017,동대문구,3975,11,3,165,1547,2249,3274,10,5,149,1017,2093
2017,강동구,4261,5,10,172,1645,2429,3245,6,12,169,949,2109
2017,서초구,4708,9,13,470,1812,2404,3237,10,7,283,835,2102
2018,중랑구,4288,4,3,174,1526,2581,3222,5,3,145,876,2193
2017,은평구,3883,6,4,230,1387,2256,3207,6,4,213,934,2050
2018,서초구,4726,5,5,470,1851,2395,3183,5,5,315,838,2020
2019,마포구,4842,2,2,495,2190,2153,3170,2,2,417,917,1832
2019,중랑구,4268,10,4,138,1666,2450,3138,10,5,108,908,2107
2017,노원구,4209,4,9,180,1538,2478,3047,4,7,155,757,2124
2019,강북구,3838,6,3,176,1229,2424,3023,6,2,145,664,2206
2019,은평구,3880,3,1,194,1565,2117,3000,3,1,162,977,1857
2018,동대문구,3680,2,5,145,1447,2081,2968,2,4,112,930,1920
2019,노원구,4153,4,3,184,1498,2464,2964,4,3,158,681,2118
2019,강동구,4014,6,15,180,1650,2163,2955,5,14,155,907,1874
2017,용산구,4060,1,5,327,1346,2381,2936,1,4,289,626,2016
2018,은평구,3590,8,1,188,1278,2115,2863,8,1,169,816,1869
2017,중구,4184,1,9,267,1846,2061,2851,-,9,149,889,1804
2017,강북구,3393,8,7,208,1014,2156,2824,8,5,153,635,2023
2019,동대문구,3692,6,10,168,1531,1977,2818,6,9,143,827,1833
2019,광진구,4011,4,6,273,1875,1853,2816,5,5,213,1008,1585
2019,중구,4327,2,6,195,2202,1922,2804,1,5,115,1050,1633
2018,광진구,3915,7,2,229,1769,1908,2789,5,1,184,974,1625
2018,강동구,3919,3,7,170,1515,2224,2789,3,7,143,765,1871
2018,강북구,3437,8,7,188,1112,2122,2743,6,7,135,603,1992
2018,노원구,4007,5,5,194,1422,2381,2725,4,5,173,585,1958
2018,중구,4030,2,11,207,1855,1955,2679,2,11,115,832,1719
2017,양천구,3882,3,3,138,1590,2148,2660,2,2,122,756,1778
2019,용산구,3313,3,3,272,999,2036,2611,3,4,237,544,1823
2017,금천구,3265,5,5,240,1141,1874,2572,5,5,212,674,1676
2018,금천구,3293,6,7,200,1168,1912,2567,6,6,185,645,1725
2018,용산구,3411,1,3,331,1096,1980,2543,1,2,285,522,1733
2017,성북구,3434,7,8,173,1344,1902,2479,7,8,134,703,1627
2018,양천구,3515,2,4,120,1384,2005,2459,3,14,111,646,1685
2019,금천구,3105,6,10,153,1157,1779,2343,6,6,126,615,1590
2019,성북구,2877,3,3,176,1082,1613,2323,3,3,130,731,1456
2017,서대문구,3113,4,1,202,1230,1676,2299,4,2,181,719,1393
2018,성북구,3042,7,1,183,1164,1687,2277,6,2,140,635,1494
2017,동작구,3330,1,7,396,1226,1700,2242,1,9,173,593,1466
2019,동작구,3400,4,1,251,1328,1816,2195,2,1,110,579,1503
2019,양천구,3214,6,2,127,1477,1602,2124,6,2,112,634,1370
2018,동작구,3100,3,7,288,1151,1651,2090,3,7,154,532,1394
2017,성동구,2767,1,3,132,1072,1559,2031,1,3,106,543,1378
2019,서대문구,2943,2,5,175,1226,1535,2020,1,5,154,600,1260
2018,서대문구,2802,5,3,206,1062,1526,2016,4,3,189,585,1235
2019,성동구,2512,6,9,133,970,1394,1838,5,10,96,511,1216
2018,성동구,2457,2,5,126,999,1325,1787,2,8,102,487,1188
2018,도봉구,2249,1,5,113,781,1349,1676,1,3,117,431,1124
2017,도봉구,1999,1,3,104,633,1258,1652,1,3,115,417,1116
2019,도봉구,2110,1,5,90,790,1224,1497,1,5,83,394,1014
