ID,기간코드,지역코드,총생활인구수,일최대인구수,일최소인구수,주간인구수,야간인구수,일최대이동인구수,자치구간이동인구수
0,19,111311,525648.3338000006,560838.1220678977,486834.13776477263,495530.8425394887,547160.8275610794,225552.32835085227,61246.224666761394
1,19,111191,411521.1562809658,429216.3172355117,396103.2379732957,421127.16775653383,404659.7195190342,221025.20590113642,104248.61838948862
2,18,111311,534523.8568321036,573255.4983649447,492938.40313579346,502049.78454612574,557299.0646103319,238774.63492693723,65213.02902177122
3,19,111171,285082.0775167615,309150.4229579546,257350.07282500024,264568.5435892045,299734.6017568181,138343.57426704557,40075.724514488626
4,18,111131,328479.2245974168,364701.27615535073,287681.6542084871,355906.28167047945,308629.9646896681,206633.5103457565,101345.23649040594
5,18,111212,568327.8222118083,604706.5424413285,531389.5266568264,540705.049186716,587611.4060546134,266577.7384261992,65955.98736863467
6,19,111131,325658.38945312484,358669.0362565339,289521.1580284088,351826.10151420435,306967.1665613637,198216.36659147742,95850.8266744318
7,19,111261,851878.220641477,1047966.1229321017,678469.7961588069,1005556.0835090908,742108.318595739,612055.8208349425,297018.4783582384
8,18,111301,405548.5739424358,437437.67076383776,369614.5040667897,378942.34526273067,424234.5704250921,196049.2512442805,64485.372565682665
9,19,111121,365234.3581053975,510684.17910284107,245030.67648636355,473655.6175397731,287790.6013625,326327.19627272733,204494.00128352287
10,18,111151,370736.01928265695,409170.1707254613,328084.8957664209,338841.6941472327,393223.27026014787,170281.95352361628,41149.89326531366
11,18,111123,357385.4774121772,489711.7084535056,257275.12206752773,449843.37166494457,291070.9560077491,313043.3162878227,189115.6050630997
12,18,111221,434505.2878461253,450150.31371586723,419697.2921627305,428217.738516605,438655.4449535054,221714.7441247231,75543.02779704802
13,19,111273,781905.4957494319,806094.2786661925,763797.2924542606,786327.0110556815,778747.2705338072,404925.6270156251,121163.59009034092
14,18,111142,368086.71332177107,384607.7353627307,352437.1813848711,375332.49867896666,362624.20203173446,209648.75680442798,99311.63856162361
15,18,111291,312569.8078649448,345316.5955623618,278692.3313029521,286038.98018892994,331270.8235188194,137845.9290575645,47660.100589667876
16,19,111151,361735.1789758526,396794.4521863635,322248.30930198875,332263.0538116477,382786.69694630674,158128.05140795463,38415.33951505679
17,18,111231,531809.5417634688,598418.6303309964,464355.8926243544,584531.7441819188,493744.498294096,360100.79140922526,170761.07674354245
18,19,111301,398626.0472133523,427004.08244829555,365320.48959630675,374188.3233892044,416081.56423352286,187492.0526551136,61703.9947653409
19,18,111262,629992.9653509224,740246.1906701103,517038.5807583024,719165.120292989,565821.2676291513,443974.66223542456,209165.4234564576
20,18,111201,514381.84339963103,557823.3229653137,472459.2906863469,534782.2318712177,499397.5042084869,295946.6261036899,137863.65018634684
21,19,111281,238993.35716647745,258613.41249431807,221095.44428437517,254012.9677659089,228265.06388238614,148742.35968238642,48534.4173497159
22,19,111241,421077.7503511363,450924.7746332388,387158.073453125,395587.61248409114,439284.9916917619,181334.84922840906,72726.4727474432
23,18,111181,455552.16715424333,506554.14056088554,399014.1455999997,412427.66228634666,485993.4785369003,188958.19818044297,37476.36281217711
24,19,111123,339373.2459636364,464712.50246022735,247307.11216732953,425654.31554261356,277743.9105545454,289386.76202698855,173710.44574545458
25,19,111141,405280.46312869317,427362.4922701705,380867.0664116477,389506.1904843751,416547.80073295446,190608.0542829545,69177.3671883522
26,18,111251,526441.8808295203,588811.0599405903,459511.1674402216,474373.8259767529,563211.6719512917,229214.6750261994,65046.51638228783
27,18,111191,418592.77473616245,436334.9247143916,403069.0611070109,425978.3042254613,412995.9690878227,231186.00832546118,110677.46658191872
28,19,111201,511132.8318565337,550503.9982963069,472574.9231142048,532835.641957955,495630.82464403356,290716.9189056817,132824.4203400568
29,18,111121,376548.3761863469,523996.96830368997,253316.2864808118,486856.4391051662,297483.7671767528,339955.3760586717,215150.49189557208
30,18,111281,243654.69351217712,265400.3580512914,223953.47290774915,260423.54695682655,231491.68348413263,155629.69776346872,52167.92614723245
31,18,111273,775496.4453937269,802846.200442435,756424.1738675275,778603.5505830258,772665.6846217713,412945.2099546124,124725.6243129151
32,19,111291,304014.64414176147,334068.28037102276,272380.4383965908,279420.3370809658,321582.0063340911,155921.96905170445,44729.055682670434
33,18,111141,417179.45092582994,441063.77654317353,392324.73833579343,401146.40732324723,428298.77445239876,203799.2303601476,74570.74074797049
34,19,111231,514583.01149062556,578687.4500806819,452681.81865937525,565356.7259775576,478316.0725752845,342281.3270383521,161253.9194457386
35,18,111171,300143.2940295203,327230.4852210334,269552.678885609,277485.77477269375,316090.0940276753,148161.91076383766,44275.800051660524
36,18,111274,495728.0088649445,531202.9017815494,455112.1233442805,465405.1622579335,516997.40435387444,229051.0216856089,47819.62082140224
37,19,111181,445016.0384892049,493021.5371647729,391407.0253593749,403975.57117613667,474330.6580068182,176270.5587985794,35591.633470454566
38,19,111212,556005.823525568,587252.0286039774,524513.8471892043,532254.7809767043,572970.8539301134,252040.18776761368,63723.69882698862
39,18,111161,460168.0418313654,490604.60150738026,429760.93070000026,436907.6530608854,476423.6121435425,204373.24918376392,83101.67333911435
40,19,111262,616147.8377633523,724583.317497443,509442.0363539774,702581.1552750004,554409.7538278408,424708.7189187501,197889.46487727275
41,19,111221,425341.652219034,437984.9700806819,412606.8849801134,420041.81311590876,429127.2515795458,211623.15306590914,70970.07666278403
42,18,111241,431005.6130081181,460890.5404343175,397880.49368708493,406295.8651608857,448315.42564354243,191103.47459815486,77328.5745243542
43,18,111261,856503.9993258299,1049369.419210701,684465.9558605169,1008618.1510007369,747216.3415833951,624077.0795435427,304266.1885771219
44,19,111152,391960.98110965936,400331.7321298296,382404.36948494316,390917.8492494315,392706.0752985792,197571.0978178975,85189.71612812503
45,19,111251,512078.63856136386,566732.3956434657,452215.3533659093,465665.3246923294,545231.0056133525,218615.52737130664,62742.404917897795
46,19,111274,487603.80488380673,519908.3267517047,450240.6244585229,459730.9959454544,507512.9541244313,230824.01149346595,46637.41363977271
47,19,111161,447125.7457056819,475833.8880590908,417342.1095644884,424556.996147443,463246.28111107927,191157.56124943186,76263.41839289771
48,18,111152,406029.7347476014,414903.7228107009,396272.0657837639,405193.500097417,406310.6848228782,213823.44069188187,92123.87350036897
49,19,111142,363969.6360028408,379454.50387500005,348148.1098639208,372160.80454005697,358118.80133721646,202122.96564318176,95696.65055511365
