ID,경찰서,기간코드,경찰관수,지구대,파출소,치안센터,지역코드
0,서울중부경찰서,17,526,3,4,4,111121
1,서울종로경찰서,17,655,1,12,1,111123
2,서울남대문경찰서,17,503,0,7,0,111121
3,서울서대문경찰서,17,682,2,6,3,111191
4,서울혜화경찰서,17,485,0,8,1,111123
5,서울용산경찰서,17,711,2,6,4,111131
6,서울성북경찰서,17,557,3,3,8,111161
7,서울동대문경찰서,17,817,3,8,9,111152
8,서울마포경찰서,17,858,5,3,9,111201
9,서울영등포경찰서,17,971,7,3,5,111231
10,서울성동경찰서,17,651,3,6,6,111142
11,서울동작경찰서,17,670,6,1,10,111241
12,서울광진경찰서,17,697,2,8,2,111141
13,서울서부경찰서,17,410,2,2,4,111181
14,서울강북경찰서,17,667,2,7,5,111291
15,서울금천경찰서,17,580,2,3,7,111281
16,서울중랑경찰서,17,748,4,4,9,111151
17,서울강남경찰서,17,816,1,7,3,111261
18,서울관악경찰서,17,861,5,4,10,111251
19,서울강서경찰서,17,902,7,3,2,111212
20,서울강동경찰서,17,741,4,4,8,111274
21,서울종암경찰서,17,420,2,2,6,111161
22,서울구로경찰서,17,749,5,3,8,111221
23,서울서초경찰서,17,697,1,6,5,111262
24,서울양천경찰서,17,771,5,3,7,111301
25,서울송파경찰서,17,1026,5,5,10,111273
26,서울노원경찰서,17,811,6,2,10,111311
27,서울방배경찰서,17,374,1,3,3,111262
28,서울은평경찰서,17,507,2,3,7,111181
29,서울도봉경찰서,17,563,1,7,1,111171
30,서울수서경찰서,17,635,4,2,6,111261
31,서울중부경찰서,18,528,3,4,4,111121
32,서울종로경찰서,18,657,1,12,1,111123
33,서울남대문경찰서,18,512,0,7,0,111121
34,서울서대문경찰서,18,688,2,6,3,111191
35,서울혜화경찰서,18,493,0,8,1,111123
36,서울용산경찰서,18,701,2,6,4,111131
37,서울성북경찰서,18,550,3,3,8,111161
38,서울동대문경찰서,18,823,3,8,9,111152
39,서울마포경찰서,18,884,5,3,9,111201
40,서울영등포경찰서,18,980,7,3,5,111231
41,서울성동경찰서,18,651,3,6,6,111142
42,서울동작경찰서,18,678,6,1,10,111241
43,서울광진경찰서,18,712,2,8,2,111141
44,서울서부경찰서,18,428,2,2,4,111181
45,서울강북경찰서,18,672,2,7,5,111291
46,서울금천경찰서,18,583,2,3,7,111281
47,서울중랑경찰서,18,767,4,4,9,111151
48,서울강남경찰서,18,836,1,7,3,111261
49,서울관악경찰서,18,885,5,4,10,111251
50,서울강서경찰서,18,944,7,3,2,111212
51,서울강동경찰서,18,763,4,4,8,111274
52,서울종암경찰서,18,429,2,2,6,111161
53,서울구로경찰서,18,768,5,3,8,111221
54,서울서초경찰서,18,725,1,6,5,111262
55,서울양천경찰서,18,787,5,3,7,111301
56,서울송파경찰서,18,1042,5,5,10,111273
57,서울노원경찰서,18,833,6,2,10,111311
58,서울방배경찰서,18,377,1,3,3,111262
59,서울은평경찰서,18,517,2,3,7,111181
60,서울도봉경찰서,18,578,1,7,1,111171
61,서울수서경찰서,18,646,4,2,6,111261
62,서울중부경찰서,19,533,3,4,4,111121
63,서울종로경찰서,19,662,1,12,1,111123
64,서울남대문경찰서,19,507,0,7,0,111121
65,서울서대문경찰서,19,674,2,6,3,111191
66,서울혜화경찰서,19,493,0,8,1,111123
67,서울용산경찰서,19,712,3,4,5,111131
68,서울성북경찰서,19,544,3,3,8,111161
69,서울동대문경찰서,19,826,3,8,9,111152
70,서울마포경찰서,19,883,5,3,7,111201
71,서울영등포경찰서,19,990,7,3,5,111231
72,서울성동경찰서,19,642,3,6,6,111142
73,서울동작경찰서,19,674,6,1,10,111241
74,서울광진경찰서,19,724,2,8,2,111141
75,서울서부경찰서,19,417,2,2,4,111181
76,서울강북경찰서,19,671,2,7,5,111291
77,서울금천경찰서,19,575,2,3,7,111281
78,서울중랑경찰서,19,764,4,4,9,111151
79,서울강남경찰서,19,866,1,7,3,111261
80,서울관악경찰서,19,918,6,3,10,111251
81,서울강서경찰서,19,941,7,3,2,111212
82,서울강동경찰서,19,766,4,5,7,111274
83,서울종암경찰서,19,417,2,2,6,111161
84,서울구로경찰서,19,752,5,3,8,111221
85,서울서초경찰서,19,736,1,6,5,111262
86,서울양천경찰서,19,773,5,3,8,111301
87,서울송파경찰서,19,1063,5,5,10,111273
88,서울노원경찰서,19,809,6,2,9,111311
89,서울방배경찰서,19,379,1,3,3,111262
90,서울은평경찰서,19,508,2,3,7,111181
91,서울도봉경찰서,19,561,1,7,1,111171
92,서울수서경찰서,19,666,4,2,4,111261
93,서울중부경찰서,19,533,3,4,4,111121
94,서울종로경찰서,19,662,1,12,1,111123
95,서울남대문경찰서,19,507,0,7,0,111121
96,서울서대문경찰서,19,674,2,6,3,111191
97,서울혜화경찰서,19,493,0,8,1,111123
98,서울용산경찰서,19,712,3,4,5,111131
99,서울성북경찰서,19,544,3,3,8,111161
100,서울동대문경찰서,19,826,3,8,9,111152
101,서울마포경찰서,19,883,5,3,7,111201
102,서울영등포경찰서,19,990,7,3,5,111231
103,서울성동경찰서,19,642,3,6,6,111142
104,서울동작경찰서,19,674,6,1,10,111241
105,서울광진경찰서,19,724,2,8,2,111141
106,서울서부경찰서,19,417,2,2,4,111181
107,서울강북경찰서,19,671,2,7,5,111291
108,서울금천경찰서,19,575,2,3,7,111281
109,서울중랑경찰서,19,764,4,4,9,111151
110,서울강남경찰서,19,866,1,7,3,111261
111,서울관악경찰서,19,918,6,3,10,111251
112,서울강서경찰서,19,941,7,3,2,111212
113,서울강동경찰서,19,766,4,5,7,111274
114,서울종암경찰서,19,417,2,2,6,111161
115,서울구로경찰서,19,752,5,3,8,111221
116,서울서초경찰서,19,736,1,6,5,111262
117,서울양천경찰서,19,773,5,3,8,111301
118,서울송파경찰서,19,1063,5,5,10,111273
119,서울노원경찰서,19,809,6,2,9,111311
120,서울방배경찰서,19,379,1,3,3,111262
121,서울은평경찰서,19,508,2,3,7,111181
122,서울도봉경찰서,19,561,1,7,1,111171
123,서울수서경찰서,19,666,4,2,4,111261
