,기간,지역구,합계,살인,강도,강간강제추행,절도,폭력,평균지가,결과,랭크용
0,2017,강남구,7720,7,20,607,3130,3956,4840000.0,0.15950413223140494,0.15950413223140494
1,2017,영등포구,5969,15,5,455,2304,3190,3604000.0,0.16562153163152052,0.16562153163152052
2,2017,송파구,5576,6,1,288,2274,3007,1451000.0,0.3842866988283942,0.3842866988283942
3,2017,관악구,5525,8,7,379,1979,3152,2375300.0,0.23260219761714312,0.23260219761714312
4,2017,마포구,5278,3,8,500,2094,2673,1883200.0,0.280267629566695,0.280267629566695
5,2017,강서구,5135,11,4,316,1888,2916,164480.0,3.1219601167315174,3.1219601167315174
6,2017,구로구,4895,7,8,328,1725,2827,3345600.0,0.14631157340985176,0.14631157340985176
7,2017,서초구,4708,9,13,470,1812,2404,230540.0,2.042161880801596,2.042161880801596
8,2017,광진구,4646,6,13,261,2220,2146,2327300.0,0.1996304730803936,0.1996304730803936
9,2017,중랑구,4571,5,3,172,1533,2858,763200.0,0.5989255765199162,0.5989255765199162
10,2017,강동구,4261,5,10,172,1645,2429,4905000.0,0.08687054026503567,0.08687054026503567
11,2017,노원구,4209,4,9,180,1538,2478,633020.0,0.6649079018040505,0.6649079018040505
12,2017,중구,4184,1,9,267,1846,2061,14966000.0,0.027956701857543766,0.027956701857543766
13,2017,용산구,4060,1,5,327,1346,2381,2895960.0,0.1401953065650078,0.1401953065650078
14,2017,종로구,4057,7,10,253,1644,2143,2874800.0,0.14112286072074579,0.14112286072074579
15,2017,동대문구,3975,11,3,165,1547,2249,2249000.0,0.17674522009782123,0.17674522009782123
16,2017,은평구,3883,6,4,230,1387,2256,3396800.0,0.11431347150259068,0.11431347150259068
17,2017,양천구,3882,3,3,138,1590,2148,1029340.0,0.3771348631161715,0.3771348631161715
18,2017,성북구,3434,7,8,173,1344,1902,1117560.0,0.3072765668062565,0.3072765668062565
19,2017,강북구,3393,8,7,208,1014,2156,1960000.0,0.17311224489795918,0.17311224489795918
20,2017,동작구,3330,1,7,396,1226,1700,3785600.0,0.08796491969568893,0.08796491969568893
21,2017,금천구,3265,5,5,240,1141,1874,2942600.0,0.11095629715217835,0.11095629715217835
22,2017,서대문구,3113,4,1,202,1230,1676,7126200.0,0.043683870786674524,0.043683870786674524
23,2017,성동구,2767,1,3,132,1072,1559,3349400.0,0.08261181107063952,0.08261181107063952
24,2017,도봉구,1999,1,3,104,633,1258,2289200.0,0.08732308229949327,0.08732308229949327
25,2018,강남구,7513,10,14,600,3004,3885,10627600.0,0.07069328917159096,0.07069328917159096
26,2018,영등포구,5840,17,8,391,2292,3132,1184400.0,0.49307666328942923,0.49307666328942923
27,2018,송파구,5807,5,6,309,2352,3135,6173400.0,0.0940648589108109,0.0940648589108109
28,2018,마포구,5172,6,6,473,2011,2676,2102400.0,0.24600456621004566,0.24600456621004566
29,2018,관악구,5026,9,10,352,2012,2643,156260.0,3.216434148214514,3.216434148214514
30,2018,구로구,4810,8,9,250,1717,2826,4371600.0,0.11002836490072285,0.11002836490072285
31,2018,서초구,4726,5,5,470,1851,2395,10054840.0,0.04700223971738983,0.04700223971738983
32,2018,강서구,4629,11,6,269,1724,2619,1596760.0,0.2898995465818282,0.2898995465818282
33,2018,중랑구,4288,4,3,174,1526,2581,860640.0,0.49823387246700124,0.49823387246700124
34,2018,중구,4030,2,11,207,1855,1955,12822000.0,0.031430354078926845,0.031430354078926845
35,2018,노원구,4007,5,5,194,1422,2381,2162620.0,0.18528451600373622,0.18528451600373622
36,2018,강동구,3919,3,7,170,1515,2224,3663200.0,0.1069829657130378,0.1069829657130378
37,2018,광진구,3915,7,2,229,1769,1908,2413000.0,0.16224616659759636,0.16224616659759636
38,2018,종로구,3690,6,3,236,1483,1962,1172120.0,0.3148141828481726,0.3148141828481726
39,2018,동대문구,3680,2,5,145,1447,2081,4029400.0,0.09132873380652207,0.09132873380652207
40,2018,은평구,3590,8,1,188,1278,2115,1750740.0,0.2050561476861213,0.2050561476861213
41,2018,양천구,3515,2,4,120,1384,2005,4195000.0,0.0837902264600715,0.0837902264600715
42,2018,강북구,3437,8,7,188,1112,2122,1259760.0,0.2728297453483203,0.2728297453483203
43,2018,용산구,3411,1,3,331,1096,1980,3888400.0,0.08772245653739327,0.08772245653739327
44,2018,금천구,3293,6,7,200,1168,1912,1230720.0,0.26756695267810715,0.26756695267810715
45,2018,동작구,3100,3,7,288,1151,1651,3953600.0,0.0784095507891542,0.0784095507891542
46,2018,성북구,3042,7,1,183,1164,1687,3031020.0,0.10036225429063483,0.10036225429063483
47,2018,서대문구,2802,5,3,206,1062,1526,5750200.0,0.04872873986991757,0.04872873986991757
48,2018,성동구,2457,2,5,126,999,1325,3596400.0,0.06831831831831832,0.06831831831831832
49,2018,도봉구,2249,1,5,113,781,1349,1174540.0,0.19147921739574641,0.19147921739574641
50,2019,강남구,7304,5,5,666,2970,3658,9618400.0,0.07593778591033852,0.07593778591033852
51,2019,영등포구,5820,10,3,356,2409,3042,1817640.0,0.32019541823463393,0.32019541823463393
52,2019,송파구,5698,7,10,273,2416,2992,7108800.0,0.08015417510690974,0.08015417510690974
53,2019,서초구,5542,5,7,616,2270,2644,5090000.0,0.10888015717092336,0.10888015717092336
54,2019,관악구,5328,13,10,408,2223,2674,2182760.0,0.24409463248364457,0.24409463248364457
55,2019,강서구,4924,8,3,306,2050,2557,5595400.0,0.0880008578475176,0.0880008578475176
56,2019,마포구,4842,2,2,495,2190,2153,8458200.0,0.057246222600553315,0.057246222600553315
57,2019,구로구,4707,10,3,226,1916,2552,1732000.0,0.27176674364896075,0.27176674364896075
58,2019,중구,4327,2,6,195,2202,1922,25790000.0,0.016777820860798758,0.016777820860798758
59,2019,중랑구,4268,10,4,138,1666,2450,2302200.0,0.18538788984449658,0.18538788984449658
60,2019,노원구,4153,4,3,184,1498,2464,904860.0,0.4589660278938178,0.4589660278938178
61,2019,강동구,4014,6,15,180,1650,2163,5049600.0,0.07949144486692014,0.07949144486692014
62,2019,광진구,4011,4,6,273,1875,1853,3048400.0,0.13157722083716047,0.13157722083716047
63,2019,은평구,3880,3,1,194,1565,2117,2994800.0,0.1295579003606251,0.1295579003606251
64,2019,종로구,3846,4,7,238,1515,2082,3545400.0,0.10847859197833812,0.10847859197833812
65,2019,강북구,3838,6,3,176,1229,2424,3135340.0,0.12241096659373464,0.12241096659373464
66,2019,동대문구,3692,6,10,168,1531,1977,2605200.0,0.14171656686626746,0.14171656686626746
67,2019,동작구,3400,4,1,251,1328,1816,3516400.0,0.09668979638266409,0.09668979638266409
68,2019,용산구,3313,3,3,272,999,2036,4809600.0,0.06888306719893547,0.06888306719893547
69,2019,양천구,3214,6,2,127,1477,1602,2502600.0,0.12842643650603372,0.12842643650603372
70,2019,금천구,3105,6,10,153,1157,1779,2383360.0,0.1302782626208378,0.1302782626208378
71,2019,서대문구,2943,2,5,175,1226,1535,3577180.0,0.08227150996035984,0.08227150996035984
72,2019,성북구,2877,3,3,176,1082,1613,4271200.0,0.06735811949803334,0.06735811949803334
73,2019,성동구,2512,6,9,133,970,1394,7809400.0,0.03216636361308167,0.03216636361308167
74,2019,도봉구,2110,1,5,90,790,1224,830380.0,0.2541005322864231,0.2541005322864231
